,GeoFIPS,GeoName,county_name,state_alpha,year,GDP_PI
419,13037,"Calhoun, GA",Calhoun,GA,2001,81501.0
420,13039,"Camden, GA",Camden,GA,2001,728246.0
421,13043,"Candler, GA",Candler,GA,2001,132868.0
422,13045,"Carroll, GA",Carroll,GA,2001,1969246.0
423,13047,"Catoosa, GA",Catoosa,GA,2001,881481.0
424,13049,"Charlton, GA",Charlton,GA,2001,95496.0
425,13051,"Chatham, GA",Chatham,GA,2001,7387755.0
426,13053,"Chattahoochee, GA",Chattahoochee,GA,2001,101447.0
427,13055,"Chattooga, GA",Chattooga,GA,2001,383771.0
428,13057,"Cherokee, GA",Cherokee,GA,2001,2413856.0
429,13059,"Clarke, GA",Clarke,GA,2001,2981477.0
